country,date,count
Globally,2020-06-19,8385440
China,2020-06-19,84940
Outside of China,2020-06-19,8300500
Singapore,2020-06-19,41473
Philippines,2020-06-19,27799
Japan,2020-06-19,17740
Republic of Korea,2020-06-19,12306
Malaysia,2020-06-19,8529
Australia,2020-06-19,7391
New Zealand,2020-06-19,1157
Vietnam,2020-06-19,342
Mongolia,2020-06-19,201
Brunei Darussalam,2020-06-19,141
Cambodia,2020-06-19,129
Lao People's Democratic Republic,2020-06-19,19
Fiji,2020-06-19,18
Papua New Guinea,2020-06-19,8
Guam,2020-06-19,185
French Polynesia,2020-06-19,60
Northern Mariana Islands,2020-06-19,30
New Caledonia,2020-06-19,21
Russian Federation,2020-06-19,569063
The United Kingdom,2020-06-19,300473
Spain,2020-06-19,245268
Italy,2020-06-19,238159
Germany,2020-06-19,187764
Turkey,2020-06-19,184031
France,2020-06-19,153557
Belgium,2020-06-19,60348
Netherlands,2020-06-19,49319
Belarus,2020-06-19,56657
Sweden,2020-06-19,56043
Portugal,2020-06-19,38089
Switzerland,2020-06-19,31117
Ireland,2020-06-19,25355
Ukraine,2020-06-19,34984
Poland,2020-06-19,31015
Romania,2020-06-19,23080
Israel,2020-06-19,19876
Austria,2020-06-19,17155
Denmark,2020-06-19,12344
Kazakhstan,2020-06-19,16351
Serbia,2020-06-19,12616
Armenia,2020-06-19,19157
Czechia,2020-06-19,10230
Norway,2020-06-19,8692
Republic of Moldova,2020-06-19,13106
Finland,2020-06-19,7117
Azerbaijan,2020-06-19,11329
Luxembourg,2020-06-19,4091
Tajikistan,2020-06-19,5279
Hungary,2020-06-19,4081
Uzbekistan,2020-06-19,5855
Greece,2020-06-19,3227
Bosnia and Herzegovina,2020-06-19,3202
Bulgaria,2020-06-19,3674
North Macedonia,2020-06-19,4664
Croatia,2020-06-19,2269
Estonia,2020-06-19,1977
Kyrgyzstan,2020-06-19,2789
Iceland,2020-06-19,1816
Lithuania,2020-06-19,1784
Slovakia,2020-06-19,1562
Slovenia,2020-06-19,1511
Albania,2020-06-19,1838
Latvia,2020-06-19,1108
Cyprus,2020-06-19,985
Georgia,2020-06-19,895
Andorra,2020-06-19,855
San Marino,2020-06-19,709
Malta,2020-06-19,663
Montenegro,2020-06-19,337
Monaco,2020-06-19,99
Liechtenstein,2020-06-19,83
Holy See,2020-06-19,12
Kosovo,2020-06-19,1873
Isle of Man,2020-06-19,336
Jersey,2020-06-19,318
Guernsey,2020-06-19,252
Faroe Islands,2020-06-19,187
Gibraltar,2020-06-19,176
Greenland,2020-06-19,13
India,2020-06-19,380532
Bangladesh,2020-06-19,102292
Indonesia,2020-06-19,42762
Thailand,2020-06-19,3146
Maldives,2020-06-19,2137
Nepal,2020-06-19,7848
Sri Lanka,2020-06-19,1947
Myanmar,2020-06-19,286
Bhutan,2020-06-19,67
Timor-Leste,2020-06-19,24
Iran,2020-06-19,197647
Saudi Arabia,2020-06-19,145991
Pakistan,2020-06-19,165062
Qatar,2020-06-19,84441
United Arab Emirates,2020-06-19,43752
Kuwait,2020-06-19,38074
Egypt,2020-06-19,50437
Afghanistan,2020-06-19,27878
Oman,2020-06-19,26818
Bahrain,2020-06-19,20430
Morocco,2020-06-19,9074
Iraq,2020-06-19,25717
Sudan,2020-06-19,8020
Djibouti,2020-06-19,4557
Somalia,2020-06-19,2719
Lebanon,2020-06-19,1495
Tunisia,2020-06-19,1132
Jordan,2020-06-19,1001
Yemen,2020-06-19,913
Libya,2020-06-19,510
Syrian Arab Republic,2020-06-19,187
occupied Palestinian territory,2020-06-19,795
United States of America,2020-06-19,2149166
Brazil,2020-06-19,955377
Peru,2020-06-19,240908
Chile,2020-06-19,225103
Canada,2020-06-19,99853
Mexico,2020-06-19,159793
Ecuador,2020-06-19,49097
Colombia,2020-06-19,57046
Dominican Republic,2020-06-19,24645
Argentina,2020-06-19,35552
Panama,2020-06-19,22597
Bolivia,2020-06-19,20685
Honduras,2020-06-19,10299
Guatemala,2020-06-19,11251
El Salvador,2020-06-19,4200
Haiti,2020-06-19,4688
Cuba,2020-06-19,2295
Venezuela,2020-06-19,3386
Costa Rica,2020-06-19,1871
Paraguay,2020-06-19,1330
Nicaragua,2020-06-19,2014
Uruguay,2020-06-19,849
Jamaica,2020-06-19,626
Guyana,2020-06-19,183
Trinidad and Tobago,2020-06-19,123
Bahamas,2020-06-19,104
Barbados,2020-06-19,97
Suriname,2020-06-19,261
Saint Vincent and the Grenadines,2020-06-19,29
Antigua and Barbuda,2020-06-19,26
Grenada,2020-06-19,23
Saint Lucia,2020-06-19,19
Belize,2020-06-19,22
Dominica,2020-06-19,18
Saint Kitts and Nevis,2020-06-19,15
Puerto Rico,2020-06-19,6111
French Guiana,2020-06-19,1758
Martinique,2020-06-19,221
Guadeloupe,2020-06-19,171
Cayman Islands,2020-06-19,193
Bermuda,2020-06-19,144
Aruba,2020-06-19,101
Sint Maarten,2020-06-19,77
United States Virgin Islands,2020-06-19,73
Saint Martin,2020-06-19,42
Curacao,2020-06-19,23
Falkland Islands (Malvinas),2020-06-19,13
Turks and Caicos Islands,2020-06-19,12
Montserrat,2020-06-19,11
British Virgin Islands,2020-06-19,8
Saint Barthelemy,2020-06-19,7
"Bonaire, Sint Eustatius and Saba",2020-06-19,6
Anguilla,2020-06-19,3
Saint Pierre and Miquelon,2020-06-19,1
South Africa,2020-06-19,83890
Nigeria,2020-06-19,18480
Algeria,2020-06-19,11385
Ghana,2020-06-19,12929
Cameroon,2020-06-19,9864
Guinea,2020-06-19,4841
Senegal,2020-06-19,5475
Democratic Republic of the Congo,2020-06-19,5282
Cote dIvoire,2020-06-19,6444
Gabon,2020-06-19,4340
Kenya,2020-06-19,4257
Guinea-Bissau,2020-06-19,1512
Mali,2020-06-19,1906
Ethiopia,2020-06-19,3954
Zambia,2020-06-19,1416
Central African Republic,2020-06-19,2605
Equatorial Guinea,2020-06-19,1043
South Sudan,2020-06-19,1813
Niger,2020-06-19,1020
Burkina Faso,2020-06-19,899
Sierra Leone,2020-06-19,1272
Madagascar,2020-06-19,1403
Chad,2020-06-19,854
Congo,2020-06-19,883
Mauritania,2020-06-19,2223
United Republic of Tanzania,2020-06-19,509
Cabo Verde,2020-06-19,823
Uganda,2020-06-19,823
Togo,2020-06-19,544
Rwanda,2020-06-19,646
Malawi,2020-06-19,592
Mauritius,2020-06-19,337
Liberia,2020-06-19,542
Sao Tome and Principe,2020-06-19,388
Eswatini,2020-06-19,586
Mozambique,2020-06-19,662
Benin,2020-06-19,597
Zimbabwe,2020-06-19,463
Angola,2020-06-19,166
Burundi,2020-06-19,104
Comoros,2020-06-19,210
Eritrea,2020-06-19,142
Botswana,2020-06-19,79
Gambia,2020-06-19,36
Namibia,2020-06-19,39
Seychelles,2020-06-19,11
Lesotho,2020-06-19,4
Mayotte,2020-06-19,2383
Reunion,2020-06-19,502
Other,2020-06-19,741
